Character,Meaning
相,"surname Xiang; each other, one another, mutually, fret on the neck of a pipa 琵琶[pi2 pa5] (a fret on the soundboard is called a 品[pin3]); appearance, portrait, picture, government minister, (physics) phase, (literary) to appraise (esp. by scrutinizing physical features), to read sb's fortune (by physiognomy, palmistry etc)"
擇,"to select, to choose, to pick over, to pick out, to differentiate, to eliminate, also pr. [zhai2]"
芹,Chinese celery
喻,"surname Yu; to describe sth as, an analogy, a simile, a metaphor, an allegory"
後,"back, behind, rear, afterwards, after, later, post-"
潮,"tide, damp; moist; humid, fashionable; trendy, (coll.) inferior; substandard"
模,"to imitate, model, norm, pattern; mold, die, matrix, pattern"
咸,"surname Xian; all, everyone, each, widespread, harmonious; salted, salty, stingy, miserly"
享,"to enjoy, to benefit, to have the use of; old variant of 享[xiang3]"
珈,"gamma, jewelry"
淦,"(archaic) water leaking into a boat, historically, the name of a river in Jiangxi, (neologism) to fuck (euphemistic variant of 幹|干[gan4])"
悅,pleased
猷,"to plan, to scheme"
竑,"large, to estimate"
濬,variant of 浚[jun4]
量,"to measure; capacity, quantity, amount, to estimate, abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar), measure word"
訓,"to teach; to train; to admonish, (bound form) instruction (from superiors); teachings; rule"
强,"surname Qiang; stubborn, unyielding; strong, powerful, better, slightly more than, vigorous, violent, best in their category, e.g. see 百強|百强[bai3 qiang2]; to force, to compel, to strive, to make an effort; variant of 強|强[jiang4]; variant of 強|强[qiang2]; variant of 強|强[qiang3]"
濃,"concentrated, dense, strong (smell etc)"
盟,"oath, pledge, union, to ally, league, a subdivision corresponding to prefecture in Inner Mongolia"
積,"to amass; to accumulate; to store up, (math.) product (the result of multiplication), (TCM) constipation; indigestion"
桐,"tree name (variously Paulownia, Firmiana or Aleurites)"
濂,name of a river in Hunan
朋,friend
浦,"surname Pu; river bank, shore, river drainage ditch (old)"
夆,to butt (as horned animals)
纓,"tassel, sth shaped like a tassel (e.g. a leaf etc), ribbon"
雰,"misty, foggy"
塵,"dust, dirt, earth"
濠,trench
慕,to admire
陵,"mound, tomb, hill, mountain"
菀,used in 紫菀[zi3 wan3]; luxuriance of growth
栢,variant of 柏[bai3]
霈,torrent of rain
戎,"surname Rong; generic term for weapons (old), army (matters), military affairs"
己,"self, oneself, sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1], sixth in order, letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc, hexa"
祈,"to implore, to pray, to request"
耕,"variant of 耕[geng1]; to plow, to till"
幀,"frame, classifier for paintings etc, Taiwan pr. [zheng4]"
徽,"old variant of 徽[hui1]; badge, emblem, insignia, crest, logo, coat of arms"
緁,"to join, to splice, to braid"
嫺,variant of 嫻|娴[xian2]
足,"excessive; (bound form) foot; leg, sufficient; ample, as much as; fully"
妏,(used in female names)
悟,"to comprehend, to apprehend, to become aware"
聿,"(arch. introductory particle), then, and then"
鉦,gong used to halt troops
苓,"fungus, tuber"
議,"to comment on, to discuss, to suggest"
庶,"(bound form) ordinary; numerous, (bound form) pertaining to a concubine (contrasted with 嫡[di2]); old variant of 庶[shu4]"
炯,"bright, clear; old variant of 炯[jiong3]"
舉,"to lift, to hold up, to cite, to enumerate, to act, to raise, to choose, to elect, act, move, deed"
棻,"aromatic wood, perfume, fragrance"
張,"surname Zhang; to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes"
顥,(literary) white and shining
瀛,ocean
溥,"surname Pu; extensive, pervading"
涼,"the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉[Nan2 Liang2] (397-414), Western Liang 西涼|西凉 (400-421); cool, cold; to let sth cool down"
周,"surname Zhou, Zhou Dynasty (1046–256 BC); to make a circuit, to circle, circle, circumference, lap, cycle, complete, all, all over, thorough, to help financially; week, weekly, variant of 周[zhou1]"
珠,"bead, pearl, CL:粒[li4],顆|颗[ke1]"
庚,"age, seventh of the ten Heavenly Stems 十天干[shi2 tian1 gan1], seventh in order, letter ""G"" or Roman ""VII"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 255°, hepta"
芯,"(bound form) the pith of the rush plant (used as a lampwick); used in 芯子[xin4 zi5], Taiwan pr. [xin1]"
端,"(bound form) tip; end; extremity, (bound form) aspect; facet, (bound form) upright; proper, to hold sth level with both hands; to carry, to eliminate; to wipe out; old variant of 端[duan1], start, origin"
銀,"silver, silver-colored, relating to money or currency"
蒼,"surname Cang; dark blue, deep green, ash-gray"
丕,grand
譽,"to praise, to acclaim, reputation"
絜,"clean; marking line, pure, to regulate"
虎,"tiger, CL:隻|只[zhi1]"
作,"(bound form) worker, (bound form) workshop, (slang) troublesome; high-maintenance (person); to do; to engage in, to write; to compose, to pretend; to feign, to regard as; to consider to be, to be; to act the part of, to feel (itchy, nauseous etc), writings; works"
茲,"used in 龜茲|龟兹[Qiu1 ci2]; (literary) this, (literary) now, (literary) year"
申,"old name for Shanghai 上海[Shang4 hai3], surname Shen; to extend, to state, to explain, 9th earthly branch: 3-5 p.m., 7th solar month (7th August-7th September), year of the Monkey, ancient Chinese compass point: 240°"
鐿,ytterbium (chemistry)
繁,"old variant of 繁[fan2]; surname Po; complicated, many, in great numbers, abbr. for 繁體|繁体[fan2 ti3], traditional form of Chinese characters"
伃,N/A
椿,"Chinese toon (Toona sinensis), tree of heaven (Ailanthus altissima), (literary metaphor) father"
胤,"descendant, heir, offspring, posterity, to inherit"
銅,"copper (chemistry), see also 紅銅|红铜[hong2 tong2], CL:塊|块[kuai4]"
歐,"Europe (abbr. for 歐洲|欧洲[Ou1 zhou1]), surname Ou; (used for transliteration), old variant of 謳|讴[ou1]"
蓓,used in 蓓蕾[bei4 lei3]
尉,surname Wei; military officer; used in 尉遲|尉迟[Yu4 chi2] and 尉犁[Yu4 li2]
仰,"surname Yang; to face upward, to look up, to admire, to rely on"
晁,surname Chao
箏,see 古箏|古筝[gu3 zheng1]
語,"dialect, language, speech; (literary) to tell; to let (sb) know"
珏,gems mounted together
岡,"ridge, mound"
燊,"brisk, vigorous (of fire)"
賞,"to bestow (a reward), to give (to an inferior), to hand down, a reward (bestowed by a superior), to appreciate (beauty)"
仙,immortal; variant of 仙[xian1]
嵩,Mt Song in Henan; (literary) (of mountains) lofty
甯,variant of 寧|宁[ning2]
擎,to raise; to hold up; to lift up
禧,joy
珉,"alabaster, jade-like stone"
字,"letter, symbol, character, word, CL:個|个[ge4], courtesy or style name traditionally given to males aged 20 in dynastic China"
三,"surname San; three, 3"
硯,ink-stone
溪,"creek, rivulet; variant of 溪[xi1]"
頌,"ode, eulogy, to praise in writing, to wish (in letters)"
雙,"surname Shuang; two, double, pair, both, even (number)"
燈,"lamp, light, lantern, CL:盞|盏[zhan3]"
嗣,"succession (to a title), to inherit, continuing (a tradition), posterity"
讚,(bound form) to praise; to laud (variant of 贊|赞[zan4])
競,"to compete, to contend, to struggle"
境,"border, place, condition, boundary, circumstances, territory"
沁,"to seep, to percolate"
琛,"precious stone, gem"
觀,"surname Guan; to look at, to watch, to observe, to behold, to advise, concept, point of view, outlook; Taoist monastery, palace gate watchtower, platform"
傅,"surname Fu; (bound form) instructor, (literary) to instruct, to attach, to apply (makeup etc)"
井,"Jing, one of the 28 constellations of Chinese astronomy, surname Jing; a well, CL:口[kou3], neat, orderly"
恭,respectful
日,"abbr. for 日本[Ri4 ben3], Japan; sun, day, date, day of the month"
嶸,used in 崢嶸|峥嵘[zheng1 rong2]
佾,row of dancers at sacrifices
澄,"variant of 澄[cheng2]; surname Cheng; clear, limpid, to clarify, to purify; (of liquid) to settle, to become clear"
委,"surname Wei; used in 委蛇[wei1 yi2]; to entrust, to cast aside, to shift (blame etc), to accumulate, roundabout, winding, dejected, listless, committee member, council, end, actually, certainly"
禾,"cereal, grain"
沅,Yuan river in Guizhou and Hunan
瀞,(archaic) clean
栓,"bottle stopper, plug, (gun) bolt, (grenade) pin"
爾,"thus, so, like that, you, thou"
禕,"excellent, precious, rare, fine, (used in given names)"
喆,variant of 哲[zhe2] (used as a surname and in given names)
荃,(fragrant plant)
寗,old variant of 甯|宁[ning2]
壽,"surname Shou; long life, old age, age, life, birthday, funerary"
羲,"same as Fuxi 伏羲[Fu2 xi1], a mythical emperor, surname Xi"
萁,stalks of pulse
芷,"angelica (type of iris), plant root used in TCM"
磊,"lumpy, rock pile, uneven, fig. sincere, open and honest"
寓,"(bound form) to reside; to inhabit, (bound form) residence; dwelling, (bound form) to imply; to place; to contain (sth abstract); variant of 寓[yu4]"
樑,variant of 梁[liang2]
頂,"apex, crown of the head, top, roof, most, to carry on the head, to push to the top, to go against, to replace, to substitute, to be subjected to (an aerial bombing, hailstorm etc), (slang) to ""bump"" a forum thread to raise its profile, classifier for headwear, hats, veils etc"
沂,"Yi River, Shandong"
銜,"bit (of a bridle), to hold in the mouth, to harbor (feelings), to link, to accept, rank, title"
曙,"(bound form) daybreak; dawn, Taiwan pr. [shu4]"
勻,"even, well-distributed, uniform, to distribute evenly, to share"
勵,"surname Li; to encourage, to urge"
薫,Japanese variant of 薰
宙,"eternity, (geology) eon"
比,"Belgium, Belgian, abbr. for 比利時|比利时[Bi3 li4 shi2]; euphemistic variant of 屄[bi1]; to compare, (followed by a noun and adjective) more {adj.} than {noun}, ratio, to gesture, (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)"
惇,"kindhearted, honest"
奎,"crotch, 15th of the 28th constellations of Chinese astronomy"
好,"good, appropriate; proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close; on intimate terms, (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to"
霓,"Japanese cicada, old variant of 霓[ni2]; secondary rainbow"
笙,"sheng, a free reed wind instrument with vertical bamboo pipes"
朗,"clear, bright"
幼,young
雍,surname Yong; harmony; old variant of 雍[yong1]
恕,to forgive
眉,"eyebrow, upper margin"
湧,"to bubble up, to rush forth"
靈,"quick, alert, efficacious, effective, to come true, spirit, departed soul, coffin"
淨,"clean, completely, only, net (income, exports etc), (Chinese opera) painted face male role"
藹,friendly
烱,old variant of 炯[jiong3]
柔,"soft, flexible, supple, yielding, rho (Greek letter Ρρ)"
齡,"age, length of experience, membership etc"
秦,"surname Qin, Qin dynasty (221–207 BC) of the first emperor 秦始皇[Qin2 Shi3 huang2], short name for 陝西|陕西[Shan3 xi1]"
里,"variant of 裡|里[li3]; lining, interior, inside, internal, also written 裏|里[li3]; Li (surname); li, ancient measure of length, approx. 500 m, neighborhood, ancient administrative unit of 25 families, (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
蘅,Asarum blumei (wild ginger plant)
洺,name of a river
夢,"dream (CL:場|场[chang2],個|个[ge4]), (bound form) to dream"
泮,"(literary) to melt, to dissolve"
從,"surname Cong; from; through; via, (bound form) to follow, (bound form) to obey, (bound form) to engage in (an activity), (used before a negative) ever, (bound form) (Taiwan pr. [zong4]) retainer; attendant, (bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate, (bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor"
柿,old variant of 柿[shi4]; persimmon
御,"(bound form) imperial; royal, (literary) to drive (a carriage), (literary) to manage; to govern; (bound form) to defend; to resist"
袊,N/A
邁,"to take a step, to stride"
挺,"straight, erect, to stick out (a part of the body), to (physically) straighten up, to support, to withstand, outstanding, (coll.) quite, very, classifier for machine guns"
壕,"moat, (military) trench"
濱,"(bound form) water's edge; bank; shore, (bound form) to border on (a lake, river etc)"
珀,used in 琥珀[hu3 po4]
駪,large crowd
茜,"(bound form) Indian madder; munjeet (Rubia cordifolia), (bound form) madder red; dark red; alizarin crimson; used in the transliteration of people's names"
蛟,"a legendary dragon with the ability to control rain and floods, see also 蛟龍|蛟龙[jiao1 long2]"
珺,beautiful jade
創,(bound form) a wound; to wound; to initiate; to create; to achieve (sth for the first time)
礽,blessings
扉,door with only one leaf
驤,"(literary) to run friskily (of a horse), to raise, to hold high"
雁,wild goose; variant of 雁[yan4]
襄,surname Xiang; (literary) to assist
蒲,"surname Pu, old place name; refers to various monocotyledonous flowering plants including Acorus calamus and Typha orientalis, common cattail, bullrush"
孫,"surname Sun; grandson, descendant"
螢,"firefly, glow-worm"
鈿,"to inlay with gold, silver etc, ancient inlaid ornament shaped as a flower; (dialect) coin; money"
妹,younger sister
侖,to arrange
地,"-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; earth, ground, field, place, land, CL:片[pian4]"
萌,"(bound form) to sprout; to bud, (coll.) cute; adorable (orthographic borrowing from Japanese 萌え ""moe"", affection for an anime or manga character), variant of 氓[meng2]"
鉅,"variant of 巨[ju4]; (literary) hard iron, (literary) hook; barb, used in personal names and place names, variant of 巨[ju4]"
席,"surname Xi; woven mat, seat, banquet, place in a democratic assembly, classifier for banquets, conversations etc; woven mat (variant of 席[xi2])"
莨,Scopalia japonica maxin
騫,(literary) to hold high
翮,quill
璜,semicircular jade ornament
杺,N/A
莆,place name
欐,beam
球,"ball used for playing games (variant of 球[qiu2]); ball, sphere, globe, CL:個|个[ge4], ball game, match, CL:場|场[chang3]"
葆,"dense foliage, to cover"
盼,"to hope for, to long for, to expect"
暖,"old variant of 暖[nuan3]; warm, to warm; variant of 暖[nuan3]; variant of 暖[nuan3], warm"
煦,"balmy, nicely warm, cozy, Taiwan pr. [xu3]"
玠,jade tablet indicating rank
荻,"Anaphalis yedoensis (pearly everlasting reed), used in Japanese names with phonetic value Ogi"
河,"river (CL:條|条[tiao2],道[dao4]), (bound form) the Yellow River, (bound form) the Milky Way, (bound form) (on restaurant menus) rice noodles 河粉[he2 fen3]"
韶,surname Shao; (literary) splendid; glorious
教,"surname Jiao; to teach; to instruct; (bound form) to teach; to instruct, a religion, to cause (sb to do sth); to tell (sb to do sth)"
裔,"(bound form) descendants, (bound form) of ... ancestry (as in 華裔|华裔[Hua2 yi4] ""of Chinese descent""), (literary) distant lands, (literary) fringe; periphery"
宭,N/A
藩,"fence; hedge, (literary) screen; barrier, vassal state, Taiwan pr. [fan2]"
煖,variant of 暖[nuan3]
墉,"fortified wall, city wall"
曛,"twilight, sunset"
秄,N/A
绣,variant of 繡|绣[xiu4]; to embroider; embroidery
秩,"(literary) salary according to rank, (literary) an official's rank, (literary) order; orderliness, (literary) decade"
引,"to draw (e.g. a bow), to pull, to stretch sth, to extend, to lengthen, to involve or implicate in, to attract, to lead, to guide, to leave, to provide evidence or justification for, old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters"
慆,rejoice
蒙,"(literary) sincere; honest; genuine; drizzle, mist; to deceive, to cheat, to hoodwink, to make a wild guess; blind, dim-sighted; surname Meng; Mongol ethnic group, abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2], Taiwan pr. [Meng2]; (knocked) unconscious, dazed, stunned; to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat"
焱,variant of 焰[yan4]
壎,ancient porcelain wind-instrument
熾,"to burn, to blaze, splendid, illustrious"
濟,"used in place names associated with the Ji River 濟水|济水[Ji3 Shui3], surname Ji; used in 濟濟|济济[ji3 ji3]; to cross a river, to aid or relieve, to be of help"
竫,N/A
崗,"variant of 岡|冈 [gang1]; (bound form) hillock; mound, sentry post; policeman's beat, (bound form) job; post"
藤,"variant of 藤[teng2]; rattan, cane, vine"
玗,"semiprecious stone, a kind of jade"
馳,"to run fast, to speed, to gallop, to disseminate, to spread"
佰,hundred (banker's anti-fraud numeral)
圖,"diagram, picture, drawing, chart, map, CL:張|张[zhang1], to plan, to scheme, to attempt, to pursue, to seek"
鏡,"mirror, lens"
常,"surname Chang; always, ever, often, frequently, common, general, constant"
眞,variant of 真[zhen1]
穩,settled; steady; stable
舫,"2 boats lashed together, large boat"
吾,surname Wu; (old) I; my
絹,"thin, tough silk fabric"
娉,graceful
波,"(bound form) Poland (abbr. for 波蘭|波兰[Bo1 lan2]), surname Bo; wave, ripple, storm, surge"
功,"meritorious deed or service, achievement, result, service, accomplishment, work (physics)"
濝,N/A
臣,"surname Chen; state official or subject in dynastic China, I, your servant (used in addressing the sovereign), Kangxi radical 131"
矩,"variant of 矩[ju3]; carpenter's square, rule, regulation, pattern, to carve"
臺,"Taiwan (abbr.); platform, stage, terrace, stand, support, station, broadcasting station, classifier for vehicles or machines"
選,"to choose, to pick, to select, to elect"
準,"accurate, standard, definitely, certainly, about to become (bride, son-in-law etc), quasi-, para-"
冊,"book, booklet, classifier for books"
櫪,"type of oak, stable (for horses)"
秤,"to weigh (variant of 稱|称[cheng1]); steelyard balance; Roman balance, CL:臺|台[tai2]"
祝,"surname Zhu; to pray for, to wish (sb bon voyage, happy birthday etc), person who invokes the spirits during sacrificial ceremonies"
国,"surname Guo; country; nation; state, (bound form) national"
鋼,steel
宴,"(bound form) feast, repose; variant of 宴[yan4]"
師,"surname Shi; teacher, master, expert, model, army division, (old) troops, to dispatch troops"
楊,surname Yang; poplar
脩,"variant of 修[xiu1]; dried meat presented by pupils to their teacher at their first meeting (in ancient times), dried; withered"
萩,Lespedeza bicolor
乙,"second of the ten Heavenly Stems 十天干[shi2 tian1 gan1], second in order, letter ""B"" or Roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc, second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]), ethyl, bent, winding, radical in Chinese characters (Kangxi radical 5), ancient Chinese compass point: 105°; turning stroke (in Chinese characters), aka 折[zhe2]"
奐,surname Huan; excellent
彦,"accomplished, elegant"
序,"(bound form) order; sequence, (bound form) introductory; initial, preface"
沄,rushing of a torrent
代,"to be a substitute for; to act on behalf of; to replace; to substitute, generation; dynasty; age; period; (historical) era; (geological) eon"
凯,"surname Kai; (bound form) triumphal music, (Tw) (coll.) generous with money; lavish in spending, chi (Greek letter Χχ)"
望,"full moon, to hope, to expect, to visit, to gaze (into the distance), to look towards, towards; 15th day of month (lunar calendar), old variant of 望[wang4]"
商,"Shang Dynasty (c. 1600–1046 BC), surname Shang; commerce, merchant, dealer, to consult, 2nd note in pentatonic scale, quotient (as in 智商[zhi4 shang1], intelligence quotient)"
帝,emperor
再,"again; once more; re-, further; beyond this point of time, (before an adjective) more, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis), (used to introduce additional information, as in 再則|再则[zai4 ze2], 再就是[zai4 jiu4 shi4] etc), (literary) to reappear; to reoccur"
湛,"surname Zhan; deep, clear (water)"
丘,"surname Qiu; mound, hillock, grave, classifier for fields; hillock; mound (variant of 丘[qiu1])"
爭,"to strive for, to vie for, to argue or debate, deficient or lacking (dialect), how or what (literary)"
精,"essence, extract, vitality, energy, semen, sperm, mythical goblin spirit, highly perfected, elite, the pick of sth, proficient (refined ability), extremely (fine), selected rice (archaic)"
錕,steel sword
白,"surname Bai; white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera"
婧,"(literary) (of a woman) slender; delicate, (literary) (of a woman) talented"
舟,boat
淡,"insipid, diluted, weak, mild, light in color, tasteless, indifferent, (variant of 氮[dan4]) nitrogen"
葉,"surname Ye; leaf, page, lobe, (historical) period, classifier for small boats"
姸,"variant of 妍, beautiful"
琲,necklace
鍚,ornaments on headstall of horse
蔭,(bound form) shade (of a tree); shade
鍬,"shovel, spade"
各,"each, every"
彣,N/A
拯,"to raise, to aid, to support, to save, to rescue"
趾,toe
逵,"crossroads, thoroughfare"
碔,"inferior gem, a kind of jade"
垣,wall
鎔,"to smelt, to fuse, variant of 熔[rong2]"
苔,used in 舌苔[she2 tai1]; moss; lichen; liverwort
主,"owner, master, host, individual or party concerned, God, Lord, main, to indicate or signify, trump card (in card games)"
珣,(gem)
橋,"bridge, CL:座[zuo4]"
雷,"surname Lei; thunder, (bound form) (military) mine, as in 地雷[di4 lei2] land mine, (coll.) to shock; to stun; to astound, (Tw) (coll.) spoiler, (Tw) (coll.) to reveal plot details to (sb)"
湟,name of a river
謝,"surname Xie; to thank, (bound form) to apologize, (bound form) to decline; to refuse, (bound form) (of flowers, leaves etc) to wither"
莊,"surname Zhuang; farmstead, village, manor, place of business, banker (in a gambling game), grave or solemn, holdings of a landlord (in imperial China)"
渙,"to dissipate, to dissolve"
池,"surname Chi; pond, reservoir, moat"
謀,"to plan, to seek, scheme"
鍙,N/A
詞,"word, statement; speech; lyrics, a form of lyric poetry, flourishing in the Song dynasty 宋朝[Song4 chao2] (CL:首[shou3])"
記,"to record, to note, to memorize, to remember, mark, sign, classifier for blows, kicks, shots"
集,"to gather, to collect, collected works, classifier for sections of a TV series etc: episode"
献,"to offer, to present, to dedicate, to donate, to show, to put on display, worthy person (old)"
諒,"to show understanding, to excuse, to presume, to expect"
錄,"surname Lu; diary, record, to hit, to copy"
帥,"surname Shuai; (bound form) commander-in-chief, (bound form) to lead; to command, handsome; graceful; dashing; elegant, (coll.) cool!; sweet!, (Chinese chess) general (on the red side, equivalent to a king in Western chess)"
湞,river in Guangdong province
姍,used in 姍姍|姗姗[shan1 shan1]
都,"surname Du; all; both; entirely, (used for emphasis) even, already, (not) at all; capital city, metropolis"
珩,top gem of pendant from girdle
璸,(pearl)
佶,difficult to pronounce
化,"variant of 花[hua1]; to make into, to change into, -ization, to ... -ize, to transform, abbr. for 化學|化学[hua4 xue2]"
泠,surname Ling; sound of water flowing
瑱,"(literary) jade pendants attached to an official hat and hanging beside each ear, symbolizing refusal to listen to malicious talk, (literary) to fill up; jade weight"
虔,"to act with reverence, reverent"
媚,"(bound form) to flatter, (bound form) charming"
懌,"pleased, rejoice"
倬,"noticeable, large, clear, distinct, Taiwan pr. [zhuo2]"
及,"and, to reach, up to, in time for"
姮,feminine name (old)
法,"variant of 法[fa3]; France, French, abbr. for 法國|法国[Fa3 guo2], Taiwan pr. [Fa4]; law, method, way, to emulate, (Buddhism) dharma, (abbr. for 法家[Fa3 jia1]) the Legalists, (physics) farad (abbr. for 法拉[fa3 la1]); old variant of 法[fa3], law"
侃,"upright and honest, cheerful, to chat idly, to boast, to talk smoothly; old variant of 侃[kan3]"
昶,"(of the day) long, old variant of 暢|畅[chang4]"
銚,surname Yao; pan with a long handle; weeding tool
忍,"to bear, to endure, to tolerate, to restrain oneself"
偲,"(literary) learned; erudite, (literary) gifted; highly talented, Taiwan pr. [sai1]; used in 偲偲[si1 si1]"
玨,gems mounted together
藍,"surname Lan; blue, indigo plant"
勉,"to exhort, to make an effort"
孔,"surname Kong; hole, CL:個|个[ge4], classifier for cave dwellings"
佟,surname Tong
支,"surname Zhi; to support, to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions"
潼,"high, name of a pass"
漪,ripple
邑,"city, village"
淮,name of a river
緣,"cause, reason, karma, fate, predestined affinity, margin, hem, edge, along"
駐,"to halt, to stay, to be stationed (of troops, diplomats etc)"
駒,colt
灯,"lamp, light, lantern, CL:盞|盏[zhan3]"
曆,calendar
倚,"to lean on, to rely upon"
煉,"to refine, to smelt"
贒,N/A
深,old variant of 深[shen1]; deep (lit. and fig.)
滽,N/A
港,"Hong Kong (abbr. for 香港[Xiang1 gang3]), surname Gang; harbor, port, CL:個|个[ge4]"
澎,"used in 澎湃[peng2 pai4], Taiwan pr. [peng1]"
藝,"skill, art"
拱,"to cup one's hands in salute, to surround, to arch, to dig earth with the snout, arched"
適,"surname Shi; to fit, suitable, proper, just (now), comfortable, well, to go, to follow or pursue"
皚,(literary) white as snow
殿,palace hall
鉌,small bell
綜,"heddle, Taiwan pr. [zong4]; (bound form) to synthesize; to combine, Taiwan pr. [zong4]"
渭,the Wei River in Shaanxi through the Guanzhong Plain 關中平原|关中平原[Guan1 zhong1 Ping2 yuan2]
伏,"surname Fu; to lean over, to fall (go down), to hide (in ambush), to conceal oneself, to lie low, hottest days of summer, to submit, to concede defeat, to overcome, to subdue, volt"
懿,(literary) exemplary; virtuous
丙,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1], third in order, letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 165°, propyl"
渤,"same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong, Gulf of Zhili or Chihli"
嶠,highest peak
杯,"cup, trophy cup, classifier for certain containers of liquids: glass, cup; variant of 杯[bei1]; variant of 杯[bei1], trophy cup, classifier for certain containers of liquids: glass, cup"
瀝,"to drip, to strain or filter, a trickle"
黎,"Li ethnic group of Hainan Province, surname Li, abbr. for Lebanon 黎巴嫩[Li2 ba1 nen4]; (literary) black, dark, many, multitude"
昫,"variant of 煦[xu4], balmy, nicely warm, cozy"
閏,"intercalary, an extra day or month inserted into the lunar or solar calendar (such as February 29)"
花,"surname Hua; flower, blossom, CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4], fancy pattern, florid, to spend (money, time), (coll.) lecherous, lustful; old variant of 花[hua1]; variant of 花[hua1], flower, blossom, also pr. [wei3]"
域,"field, region, area, domain (taxonomy)"
覺,"a nap, a sleep, CL:場|场[chang2]; to feel, to find that, thinking, awake, aware"
昺,"bright, glorious"
軻,given name of Mencius; used in 轗軻|𫐘轲[kan3 ke3]
次,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time"
葛,"surname Ge; kudzu (Pueraria lobata), hemp cloth"
會,"can; to have the skill; to know how to, to be likely to; to be sure to, to meet; to get together, meeting; gathering, (suffix) union; group; association, (bound form) a moment (Taiwan pr. [hui3]); (bound form) to reckon accounts"
烜,brilliant
鑑,"bronze mirror (used in ancient times), to reflect, to mirror, sth that serves as a warning or a lesson, to examine, to scrutinize"
烔,"hot, heated"
嬪,imperial concubine
鍾,"surname Zhong; handleless cup; goblet, (bound form) to concentrate (one's affection etc), variant of 鐘|钟[zhong1]"
廉,"old variant of 廉[lian2]; surname Lian; incorruptible, honest, inexpensive, to investigate (old), side wall of a traditional Chinese house (old)"
艷,variant of 豔|艳[yan4]
莎,"katydid (family Tettigoniidae), phonetic ""sha"" used in transliteration; used in 莎草[suo1 cao3]"
稼,"to sow grain, (farm) crop"
稟,"to make a report (to a superior), to give, to endow, to receive, petition"
緒,"beginnings, clues, mental state, thread"
晞,"dawn, to dry in the sun"
冲,"(of water) to dash against, to mix with water, to infuse, to rinse, to flush, to develop (a film), to rise in the air, to clash, to collide with; thoroughfare, to go straight ahead, to rush, to clash; powerful, vigorous, pungent, towards, in view of"
罡,stars of the Big Dipper that constitute the tail of the dipper
風,"wind, news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]"
璥,(gem)
淋,"to sprinkle, to drip, to pour, to drench; to filter, to strain, to drain, gonorrhea, (TCM) strangury"
欉,N/A
鍊,"variant of 鏈|链[lian4], chain, variant of 煉|炼[lian4]"
巨,"very large; huge; tremendous; gigantic, (coll.) very; extremely; variant of 巨[ju4]"
蜂,"variant of 蜂[feng1]; bee, wasp; old variant of 蜂[feng1]"
珵,"fine jade, jade ornament"
竺,"surname Zhu, abbr. for 天竺[Tian1 zhu2], India (esp. in Tang or Buddhist context), (archaic) Buddhism; variant of 篤|笃[du3]"
彧,"accomplished, elegant"
臨,"to face, to overlook, to arrive, to be (just) about to, just before"
苙,"(herb), pigsty"
弦,"bow string, string of musical instrument, watchspring, chord (segment of curve), hypotenuse, CL:根[gen1]"
璣,(literary) baroque pearl; irregular pearl
營,"camp, barracks, battalion, to build, to operate, to manage, to strive for"
